branches,cache_misses,cache_references,instructions
20938,1574,493,91756
18599,1406,424,80905
20165,1627,549,90568
17312,983,821,86765
17764,1432,959,80476
20196,1545,947,93450
18671,1242,601,92634
16412,937,666,85174
18621,744,529,104817
18255,710,491,103959
17606,717,491,99456
14252,676,474,77624
18563,1023,691,90466
20202,912,802,88753
17137,871,548,93678
17680,752,531,98310
19862,719,453,111708
21056,700,442,116367
19454,684,472,110296
17729,1105,737,93186
15993,801,520,93520
17715,858,587,96984
19951,1129,693,94191
20475,1055,537,93023
17849,918,523,85977
18345,994,621,100755
16165,715,490,104236
17570,778,488,104503
17577,710,484,107255
14204,487,319,86325
20404,664,436,129042
18921,589,399,117744
18717,597,374,117857
18496,584,391,114977
19316,601,392,119108
16531,614,412,101423
17524,642,428,108494
18277,622,383,115874
19669,561,360,125934
18802,597,366,116909
16054,698,431,87316
18467,708,454,103450
18061,702,448,101960
18583,702,445,104410
19222,738,458,108127
19370,722,439,107845
20509,609,389,117428
18258,689,435,103958
18166,604,367,114251
19275,611,381,119544
18622,648,399,115806
18833,677,430,110182
19532,751,467,110234
20994,701,437,115506
19156,755,462,103072
17639,887,528,93804
17749,765,458,100251
16902,714,470,95587
19023,662,407,115258
19539,721,430,111553
17140,882,509,89532
17314,928,510,91838
17965,942,501,94350
18435,940,476,98268
18340,928,529,97254
16873,803,447,89518
18081,831,532,101113
18489,791,422,106549
10523,482,253,56888
17634,847,463,98128
17005,805,469,93387
19414,734,415,111892
18841,682,377,109750
19684,721,414,112958
18656,669,358,108619
20152,696,377,117738
19755,714,398,115642
19798,728,411,113493
19861,742,404,115043
18231,789,440,103276
17917,787,439,102643
18760,784,419,107175
18510,942,579,99763
18015,863,477,96325
15705,785,411,81777
19168,872,452,103571
18060,865,486,96563
18175,883,468,98214
19095,908,488,101696
19522,816,470,106073
20146,726,391,108804
21568,678,368,118776
18583,727,424,105858
20422,1308,1049,99340
19511,754,456,105255
21113,756,440,112021
19847,820,429,109521
20677,819,479,114575
18542,893,459,101423
19138,767,457,106114
17699,740,440,104368
18788,794,458,109157
16642,690,372,97544
17766,773,448,105534
19225,572,346,123029
18975,547,348,123185
18531,638,404,113267
17811,861,476,99849
18050,837,496,102332
18267,842,481,103143
17467,799,500,98848
18341,775,437,106459
10481,467,262,57840
17907,844,478,103992
18680,846,488,107415
17610,801,459,101115
18218,806,479,104690
18548,865,501,102296
18587,683,416,114605
16353,608,351,100677
19008,657,408,116180
18863,663,394,115361
18309,639,381,112733
18340,654,413,113417
18518,662,396,114248
18377,667,411,112610
18346,649,426,112352
18507,678,444,112071
15674,745,437,87823
17366,825,461,96552
18463,813,446,104778
18434,899,547,98599
18040,786,442,102727
18204,581,393,116501
